Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain	Grain ID
1	Aluminium	59	8.6672	2	4.02	3.64	1.5517	152.24	1.42	4.42	195.59	23.82	23.99	True	corner	0
2	Aluminium	17	4.6524	1	15.65	0.88	2.5784	166.92	2.18	6.19	324.58	14.28	27.49	True	edge	1
3	Aluminium	59	8.6672	2	28.83	3.12	1.3812	166.14	1.03	2.03	301.49	14.08	30.01	True	edge	2
4	Aluminium	30	6.1804	2	35.77	2.13	1.3062	140.1	0.62	1.67	156.22	40.36	0.69	True	edge	3
5	Aluminium	76	9.837	5	42.67	5.62	2.2443	106.07	1.55	2.84	46.37	47.03	68.57	True	edge	4
6	Aluminium	16	4.5135	2	46.50	2.00	1.7222	116.06	0.82	2.80	192.81	18.76	9.10	True	edge	5
7	Aluminium	47	7.7358	2	52.02	2.66	1.2911	145.04	0.71	1.39	199.32	19.47	2.02	True	edge	6
8	Aluminium	22	5.2926	2	57.27	2.36	1.7774	73.542	0.75	1.37	190.05	18.01	11.10	True	edge	7
9	Aluminium	34	6.5795	2	69.00	2.12	1.3434	6.7326	1.37	3.16	216.94	44.51	81.64	True	edge	8
10	Aluminium	28	5.9708	4	75.68	1.68	1.5273	6.156	0.69	1.48	9.71	20.41	86.53	True	edge	9
11	Aluminium	10	3.5682	2	80.80	0.90	1.3229	153.43	0.50	1.04	182.02	45.01	74.07	True	edge	10
12	Aluminium	58	8.5935	3	88.41	3.81	1.5341	109.33	0.72	1.80	102.98	24.97	54.27	True	edge	11
13	Aluminium	12	3.9088	2	92.83	1.58	1.7605	72.863	0.43	0.60	104.77	24.39	53.33	True	edge	12
14	Aluminium	24	5.5279	3	99.21	1.21	2.2601	164.73	2.07	3.24	334.14	26.80	60.50	True	edge	13
15	Aluminium	33	6.482	4	104.73	2.67	1.4161	55.398	1.49	3.46	166.55	43.18	79.70	True	edge	14
16	Aluminium	12	3.9088	2	114.25	2.08	1.8497	85.163	0.72	1.73	216.45	45.02	7.05	True	edge	15
17	Aluminium	69	9.373	3	118.25	5.10	1.7311	88.493	1.17	2.95	213.96	43.81	10.32	True	edge	16
18	Aluminium	53	8.2147	3	124.38	4.75	1.7984	97.918	1.11	2.12	191.54	43.69	14.99	True	edge	17
19	Aluminium	39	7.0467	2	129.87	3.33	1.2889	90.543	0.89	2.12	282.12	43.24	31.12	True	edge	18
20	Aluminium	20	5.0463	2	134.40	2.05	1.4441	79.166	0.67	1.16	321.55	27.86	17.76	True	edge	19
21	Aluminium	10	3.5682	1	143.90	1.60	2.0558	62.389	0.92	1.50	8.74	48.20	28.07	True	edge	20
22	Aluminium	198	15.878	6	148.73	11.00	1.714	91.942	0.87	1.67	104.97	28.30	61.34	True	edge	21
23	Aluminium	29	6.0765	2	153.10	2.52	1.4317	97.438	0.40	0.80	245.68	45.92	40.90	True	edge	22
24	Aluminium	239	17.444	7	163.23	6.84	1.307	22.867	1.07	2.66	231.94	20.92	32.46	True	edge	23
25	Aluminium	14	4.222	2	174.50	1.00	1.8232	165.13	0.44	0.89	337.66	30.21	85.52	True	edge	24
26	Aluminium	13	4.0684	1	186.54	1.15	1.1611	166.22	0.31	0.85	170.88	19.35	0.58	True	edge	25
27	Aluminium	90	10.705	6	195.89	3.31	1.3387	176.89	1.56	10.50	164.04	34.56	12.73	True	edge	26
28	Aluminium	16	4.5135	3	204.88	0.81	2.068	4.0575	0.54	1.78	332.35	23.95	80.17	True	edge	27
29	Aluminium	38	6.9558	3	219.92	2.63	1.8568	42.649	1.68	3.29	150.44	36.39	2.52	True	edge	28
30	Aluminium	12	3.9088	2	230.33	1.08	1.2393	34.722	0.40	0.81	188.96	26.47	19.23	True	edge	29
31	Aluminium	13	4.0684	3	235.00	0.85	1.6912	94.764	0.39	0.68	216.76	44.23	66.94	True	edge	30
32	Aluminium	167	14.582	5	247.20	8.37	2.0788	74.915	1.40	3.29	359.46	15.84	87.12	True	edge	31
33	Aluminium	24	5.5279	3	255.21	1.75	1.4914	145.12	0.39	0.76	345.26	27.99	20.22	True	edge	32
34	Aluminium	29	6.0765	3	260.69	2.07	1.1527	126.81	0.52	1.30	298.46	37.64	34.34	True	edge	33
35	Aluminium	11	3.7424	4	265.64	1.09	1.4169	15.071	0.28	0.68	197.75	36.46	4.38	True	edge	34
36	Aluminium	81	10.155	4	274.72	3.83	1.8645	146.92	0.66	2.56	266.97	31.18	58.38	True	edge	35
37	Aluminium	53	8.2147	4	284.55	3.85	1.2207	117.37	0.60	1.20	321.25	49.60	31.97	True	edge	36
38	Aluminium	76	9.837	3	293.70	3.83	1.5111	162.92	0.76	1.58	220.05	45.42	77.63	True	edge	37
39	Aluminium	25	5.6419	1	303.56	0.96	2.472	179.24	0.78	2.53	332.15	42.76	17.16	True	edge	38
40	Aluminium	201	15.998	4	313.53	9.10	1.372	83.648	0.76	2.13	15.75	41.10	18.24	True	edge	39
41	Aluminium	24	5.5279	2	318.38	0.96	2.5946	175.99	0.36	0.92	144.86	15.19	27.65	True	edge	40
42	Aluminium	21	5.1709	4	324.48	2.52	1.8852	116.4	0.47	1.05	75.04	10.56	83.81	True	edge	41
43	Aluminium	31	6.2825	3	331.13	1.03	2.8061	2.7745	0.54	1.15	217.81	36.62	84.20	True	edge	42
44	Aluminium	20	5.0463	2	337.50	3.00	1.6887	74.086	0.36	0.90	160.85	33.25	73.55	True	edge	43
45	Aluminium	40	7.1365	3	343.27	2.13	1.2984	15.285	0.50	1.32	216.99	3.03	66.70	True	edge	44
46	Aluminium	19	4.9185	2	347.79	3.26	1.6907	71.565	0.76	5.37	234.38	25.55	31.09	True	edge	45
47	Aluminium	52	8.1369	3	355.27	2.27	1.4627	1.8138	0.77	2.13	254.17	43.82	37.18	True	edge	46
48	Aluminium	363	21.499	7	372.31	7.13	1.4671	7.619	0.76	2.45	227.08	38.46	68.59	True	edge	47
49	Aluminium	37	6.8637	3	389.38	1.46	2.2979	0.61248	0.33	0.83	221.83	43.87	89.08	True	edge	48
50	Aluminium	334	20.622	4	401.88	11.88	2.0136	97.077	0.81	2.90	8.24	15.49	85.74	True	corner	49
