Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain	Grain ID
1	Aluminium	188	15.472	5	5.92	6.49	1.3143	54.856	0.20	0.62	17.53	27.59	46.37	True	corner	0
2	Aluminium	20	5.0463	2	16.00	2.70	1.8312	49.01	0.22	0.45	223.43	28.90	5.95	True	edge	1
3	Aluminium	145	13.587	2	27.11	6.48	1.7387	129.38	0.27	0.69	264.94	21.86	48.28	True	edge	2
4	Aluminium	48	7.8176	1	36.29	1.85	2.0435	173.96	0.20	0.60	1.62	17.00	82.84	True	edge	3
5	Aluminium	13	4.0684	2	44.46	0.46	3.0094	1.0489	0.44	0.93	22.56	20.78	53.98	True	edge	4
6	Aluminium	171	14.755	5	46.75	8.26	1.8749	50.704	0.25	0.78	154.29	24.42	0.13	True	edge	5
7	Aluminium	29	6.0765	2	59.90	0.72	4.5553	0.70525	0.28	0.73	58.17	35.62	4.92	True	edge	6
8	Aluminium	59	8.6672	2	71.00	3.22	1.1339	158.02	0.25	0.71	337.21	45.36	60.96	True	edge	7
9	Aluminium	110	11.835	3	83.34	2.89	2.2	7.6763	0.16	0.40	118.38	35.98	88.98	True	edge	8
10	Aluminium	228	17.038	6	101.18	6.46	1.2246	10.571	0.19	0.64	154.20	27.58	83.79	True	edge	9
11	Aluminium	39	7.0467	3	115.62	1.28	3.0877	8.4038	2.68	7.49	171.79	39.10	22.56	True	edge	10
12	Aluminium	13	4.0684	0	131.15	1.38	1.7963	36.729	0.25	0.48	48.36	32.89	39.71	True	edge	11
13	Aluminium	53	8.2147	2	139.42	2.30	1.6437	177.45	0.23	0.47	123.68	41.65	1.51	True	edge	12
14	Aluminium	27	5.8632	3	147.41	1.81	1.1792	8.9057	0.24	0.55	172.44	35.50	4.49	True	edge	13
15	Aluminium	190	15.554	4	159.27	4.92	1.5129	0.94649	0.18	0.63	312.93	46.75	67.76	True	edge	14
16	Aluminium	12	3.9088	2	171.17	2.25	1.476	66.622	0.25	0.73	20.04	25.73	73.61	True	edge	15
17	Aluminium	19	4.9185	2	175.95	0.63	3.3596	4.8205	0.21	0.43	4.04	32.55	56.78	True	edge	16
18	Aluminium	373	21.793	9	180.66	9.72	1.7613	4.1106	0.33	0.91	274.82	14.82	68.74	True	edge	17
19	Aluminium	146	13.634	2	199.57	4.91	1.461	154.46	0.22	0.57	39.22	21.70	18.73	True	edge	18
20	Aluminium	34	6.5795	2	211.18	1.26	2.4351	177.86	1.07	6.09	138.74	42.57	70.68	True	edge	19
21	Aluminium	116	12.153	5	221.46	4.15	1.7657	25.228	0.20	0.47	30.27	40.42	25.41	True	edge	20
22	Aluminium	58	8.5935	4	233.62	2.81	2.483	26.723	4.22	6.61	339.78	15.23	40.64	True	edge	21
